publish_on,release_date,video,cover,artist,name,label,review,related,fcc_notes,slug,artist_slug
2018-11-25,2018-10-26,youtube:33J6FYNR9Xo,skiffle_players.jpg,The Skiffle Players,Skiff,Spiritual Pajamas,"Words like “rollicking”, “thumping”, and “boisterous” apply to this fun mix of blues, boogie, and mystery meats.","Ween, Marshall Crenshaw, Mano Negra, Oranga Tanga",,the-skiffle-players-skiff,skiffle-players
2018-11-27,2018-11-02,youtube:7em5haBGxz4,dead_can_dance.jpg,Dead Can Dance,Dionysus,PAIS,"An epic tale set to music, and a whirlwind tour of world musics.","This Mortal Coil, Cocteau Twins",Clean,dead-can-dance-dionysus,dead-can-dance
2018-11-29,2018-09-21,youtube:lVn2UM8-sKI,metric.jpg,Metric,Art of Doubt,MMI,"With Emily Haines’ expressive vocals standing proud and up front, this is a collection of catchy singalong dance rock anthems.","Garbage, Lush, Le Tigre, Til Tuesday",#5,metric-art-of-doubt,metric
2018-12-08,2018-12-08,youtube:hSRT0VhKv6w,old_time_relijun.jpg,Old Time Relijun,See Now and How,K,"What kind of raving madman discotheque is this? I don’t care that the singer yells like a man stuck in a tarpit, I’m staying for the groove.","Dub Narcotic Sound System, The Make-Up, Nick Cave",Clean,old-time-relijun-see-now-and-how,old-time-relijun
2018-12-14,2018-12-14,youtube:nmSXwbvbg0k,transgressors.jpg,The Transgressors,They Made Her A Criminal,Super Secret,"High octane fuel for your sonic funnycar, this is a set of guitar driven fuzzy twang, straddling the line between country and rock but doing it sideways and lots of attitude.","Trespassers W, Buddy Holly, The Gomers ",,the-transgressors-they-made-her-a-criminal,transgressors
2019-01-04,2019-01-04,youtube:MKZSVGxVtQQ,american_high.jpg,American High,UN Article 14,,These lush harmonies with a sharp pop sensibility are hiding a set of biting and insightful lyrics.,"The Kinks, Spinto Band, Born Ruffians, Robb Benson",Clean,american-high-un-article-14,american-high
2019-01-18,2019-01-18,youtube:Jm6hDWBZXc4,toro_y_moi.jpg,Toro Y Moi,Outer Peace,Carpark,"The beat rules supreme, the instrumentation is slinky, the vocals are coaxing you to the dance floor, and the whole thing says you’re going to be up all night.","Panda Bear, VHS Or Beta, Tom Tom Club, Jamiroquai","#3, #5, #7",toro-y-moi-outer-peace,toro-y-moi
2019-01-25,2019-01-25,youtube:HVBsk10R_tA,swervedriver.jpg,Swervedriver,Future Ruins,Dangerbird,"Hailing from the original wave of shoegaze, the band delivers the expected dosage of swooping guitar amidst dream-state vocals and rock rhythms","Ride, My Bloody Valentine, Failure",#3,swervedriver-future-ruins,swervedriver
2019-01-26,2019-01-25,youtube:h88qm4PZzBQ,wolf_and_moon.jpg,Wolf + Moon,Before It Gets Dark,AdP Records,"Well-produced synth / indie pop, with clear female vocals and a variety of styles, from dance-floor anthems to wispy desert ballads.","The Bird and the Bee, Cranberries, Mazzy Star",,wolf-moon-before-it-gets-dark,wolf-moon
2019-01-27,2019-01-25,youtube:MTA1BzhGFFI,mike_krol.jpg,Mike Krol,Power Chords,Merge,Punchy and punch drunk laments wrapped in glorious blankets of fuzz and overgained vocals.,"Bracket, Ty Segall, Hanni Al-Khatib",Clean,mike-krol-power-chords,mike-krol
2019-02-01,2019-02-01,youtube:RexVJ9KhK1E,ladytron.jpg,Ladytron,Ladytron,!K7,"Eminently danceable and frequently dark, this is what robots put on to seduce each other","Lush, Garbage, Stereolab",Clean,ladytron,ladytron
2019-02-08,2019-02-08,youtube:JYAcAv0NBh8,panda_bear.jpg,Panda Bear,Buoys,Domino,"Multilayered excursions into the analog and digital realms, blurring everything into a psychoactive tapestry.","Animal Collective, Dirty Projectors, hollAnd",Clean,panda-bear-buoys,panda-bear
2019-02-15,2019-02-15,youtube:geG7h-wTu3I,anemone.jpg,Anemone,Beat My Distance,Luminelle,"Heavenly melodies, luscious harmonies, over-chorused guitar jangles, and a sunny sparkling delivery make this suitable for ‘90s 4AD fans.","Tennis, The Bird and the Bee, Belly",Clean,anemone-beat-my-distance,anemone
2019-02-17,2019-02-15,youtube:9wk0BAIAUuk,shook_twins.jpg,Shook Twins,Some Good Lives,Dutch,Solid songs that mix a generous dollop of traditional country elements with a big scoop of indie pop.,"Palehound, Jenny Lewis, Listing Ship",Clean,shook-twins-some-good-lives,shook-twins
2019-02-22,2019-02-22,youtube:3xdE-RvgnoQ,martin_frawley.jpg,Martin Frawley,Undone At 31,Merge,"Martin is baring his soul, exposing his darkest secrets in a whispered croon, here inside this closet.","Twerps, Lou Reed, The Mountain Goats",Clean,martin-frawley-undone-at-31,martin-frawley
2019-02-26,2019-02-22,youtube:q0Xv9h___7o,pom_poko.jpg,Pom Poko,Birthday,Bella Union,Norwegian death pop worthy of Dave Brubeck with its catchy off-meter hooks takes you through a rainbow-colored tunnel of sharp candy shards.,"Deerhoof, Low Frequency In Stereo, Kero Kero Bonito, Yeah Yeah Yeahs",,pom-poko-birthday,pom-poko
2019-02-27,2019-02-22,youtube:bnPto_WE-d4,telekinesis.jpg,Telekinesis,Effluxion,Merge,"An unusually sharp pop sensibility keeps this outfit from blending into the background, with rough-and-tumble rocking.","Cage the Elephant, Heartless Bastards",,telekinesis-effluxion,telekinesis
2019-03-01,2019-03-01,youtube:G7iX3s67Zps,frankie_witch_fingers.jpg,Frankie and the Witchfingers,Zam,Greenway,"Original psychedelic riff rock is an oxymoron … what matters is the ability to get you off your seat, which this band has aplenty","Oh Sees, King Gizzard and the Lizard Wizard, Brainiac",Clean,frankie-and-the-witchfingers-zam,frankie-witchfingers
2019-03-10,2019-03-01,youtube:CIGFlt8uMEw,delicate_steve.jpg,Delicate Steve,Till I Burn Up,Anti,"Quite the military parade, a non-stop set of marching songs for liquid guitar and drum machine.","Ratatat, Brian Eno, Brian May",,delicate-steve-till-i-burn-up,delicate-steve
2019-03-22,2019-03-22,youtube:q3esGD6lcMM,orville_peck.jpg,Orville Peck,Pony,Sub Pop,"Old fashioned haunted country music… Orville Peck howls, croons, and yodels in a way that is extremely dramatic, yet never quite goes over the top.","Parker and Lily, Roy Orbison, Nick Cave",Clean,orville-peck-pony,orville-peck
2019-04-05,2019-04-05,youtube:YP5vkQhGQ7k,john_vanderslice.jpg,John Vanderslice,The Cedars,Native Cat,"A meticulously crafted release, with extreme attention to detail and a great sense of cohesion despite a wide variety of sounds… destined to be a classic.","Dirty Projectors, The Mountain Goats, The Microphones","#2, #3, #11",john-vanderslice-the-cedars,john-vanderslice
2019-04-06,2019-04-05,youtube:uN1pi8hfBM8,drunken_prayer.jpg,Drunken Prayer,Cordelia Elsewhere,Deer Lodge,"There’s a handful of acts that can stand out in the vast prairie that makes up modern rural American music, transcending strummy acoustic guitars and introspective lyrics to make something deeper.","The Elected, Gram Parsons, Wilco",,drunken-prayer-cordelia-elsewhere,drunken-prayer
2019-04-07,2019-04-05,youtube:FBnpaI8L49w,ozwald.jpg,Øzwald,Sweet Delirium,Allswell,"Sparkling gems, with great ‘70s AM radio hooks and harmonies and incredibly detailed production.","Owsley, Mohair, Dr. Dog",Clean,ozwald-sweet-delirium,ozwald
2019-04-12,2019-04-12,youtube:aiLk6G5N-3Y,fontaines_dc.jpg,Fontaines DC,Dogrel,Partisan,"Razor-sharp post-punk delivered with a disaffected Irish brogue. Very smart on many levels, recalling The Fall when they were at their most musical","Art Brut, Gang of Four, The Fall, Eugene McGuiness",Clean,fontaines-dc-dogrel,fontaines-dc
2019-04-15,2019-04-12,youtube:cHWQ88ODtLQ,budos_band.jpg,The Budos Band,The Budos Band V,Daptone,"A completely international approach to music, with influences ranging from funk to afrobeat to Balkan brass, blurring genres and locations in a glorious celebration of groove.","The James Taylor Quartet, Antibalas, Balkan Beat Box",,the-budos-band-the-budos-band-v,budos-band
2019-04-19,2019-04-19,youtube:6s6rd_i9zwo,cayucas.jpg,Cayucas,Real Life,Park The Van,"Clever pop songs, filled with good hooks and ready for mixtapes","Vampire Weekend, Eels, Panda Bear",Clean,cayucas-real-life,cayucas
2019-05-03,2019-05-03,youtube:yXbq_6l7fmI,big_thief.jpg,Big Thief,U.F.O.F.,4AD,"Mysteriously complicated folk music, with the sort of lush guitar arrangements and ethereal vocals that brought 4AD to prominence 30+ years ago.","Buck Meek, Throwing Muses, Jessca Hoop",Clean,big-thief-u-f-o-f,big-thief
2019-05-05,2019-05-03,youtube:Yg62iNAbphI,versing.jpg,Versing,"10,000",Hardly Art,"Focused on the guitar but not so much in keeping things in normal scale systems, this band punches through some heavy dissonance to make for memorable riffs.","Failure, Stephen Malkmus, Archers of Loaf","#10, #13",versing-10-000,versing
2019-05-08,2019-05-03,youtube:K0aCXuNxQA8,tacocat.jpg,Tacocat,This Mess Is A Place,Sub Pop,"It’s catchy pop punk, and it’s clearly female-powered, but there’s more here than rainbow stickers, glorious hooks and riffs, and big puffy girl handwriting.","Cub, Dressy Bessy, Veruca Salt",#3,tacocat-this-mess-is-a-place,tacocat
2019-05-10,2019-05-10,youtube:H2QKbStzjsw,daddy_long_legs.jpg,Daddy Long Legs,Lowdown Ways,Yep Roc,"Having the word “daddy” in your band’s name is a tough bar to clear, and these guys have just the type of delta blues sleaze to make it over easy.","The Legendary Shack Shakers, Hillstomp, North Mississippi Allstars",,daddy-long-legs-lowdown-ways,daddy-long-legs
2019-05-12,2019-05-10,youtube:SkpGyxGgji4,woolly_bushmen.jpg,The Woolly Bushmen,In Shambles,Pig Baby,"This Florida garage-rock combo provides complete party in audio format, featuring regrettable debauchery, frenzied dancing, and a desire to not have the fun ever end.","The Woggles, The Swingin’ Neckbreakers, The Sonics",,the-woolly-bushmen-in-shambles,woolly-bushmen
2019-05-14,2019-05-10,youtube:QbtxChYI4dY,cj_ramone.jpg,CJ Ramone,The Holy Spell…,FAT Wreck Chords,"Once a Ramone always a Ramone, one supposes, but this is closer to Southern California chug-core than gritty Queens punk. Nonetheless, a fun time.","The Ramones, Social Distortion, Rancid",,cj-ramone-the-holy-spell,cj-ramone
2019-05-16,2019-05-10,youtube:Y95nxF7R3qw,nots.jpg,Nots,3,Goner,"Mosh pit melodies for Daleks. Aggressive hardcore beats, with theremin, snarky bass, and chanting vocals instead of distorted guitar.","Gang of Four, Mission of Burma, Black Flag",Clean,nots-3,nots
2019-05-17,2019-05-17,youtube:VY_Kj01KO2I,imperial_wax.jpg,Imperial Wax,Gastwerk Saboteurs,Saustex,"After serving 11 years backing Mark E. Smith, this bands breaks out into a dark rock sound, thrilling with its edgy energy and monster riffing.","Quicksand, Failure, Killing Joke",Clean,imperial-wax-gastwerk-saboteurs,imperial-wax
2019-05-20,2019-05-17,youtube:6AsC6IQFXZ4,com_truise.jpg,Com Truise,Persuasion System,Ghostly,"One time, this robot arm at the plant started going haywire, flailing around, it was going to kill someone. We played it some Com Truise and it calmed right down.","Moby, Brian Eno, Tangerine Dream",Clean,com-truise-persuasion-system,com-truise
2019-05-24,2019-05-24,youtube:WjduOTMn9dw,cate_le_bon.jpg,Cate Le Bon,Reward,Mexican Summer,"Supremely introspective and carefully arranged, this collection of songs that range from lushly orchestrated to uncomfortably angular makes for a great moody journey","Laurie Anderson, Joanna Newsom, Micachu and the Shapes",Clean,cate-le-bon-reward,cate-le-bon
2019-05-27,2019-05-24,youtube:aDgdL9rasLo,aggrolites.jpg,The Aggrolites,Reggae Now!,Pirates Press,"It’s not ska, and it’s not rocksteady, but it’s definitely Jamaican and powerfully dancy — you can call it “69 Reggae” after the year of its initial popularity.","The Slackers, Madness, The Clash",Clean,the-aggrolites-reggae-now,aggrolites
2019-05-31,2019-05-31,youtube:fU3WoD13IdE,jr_jr.jpg,Jr. Jr.,Invocation / Conversations,Love Is EZ,"Delicious pop conconctions, loaded with clever production flourishes and infectious melodies wrapped around a soulful core.","Hall and Oates, The Bird and the Bee, Jellyfish",Clean,jr-jr-invocation-conversations,jr-jr
2019-06-01,2019-05-31,youtube:TJXSlIdXIgg,psychedelic_porn_crumpets.jpg,Psychedelic Porn Crumpets,And Now for the Watchamacallit,Marathon Artists,"The name promises so much, and the band overdelivers. The continent of Australia is awash in lysergic excursions lately, and this is one of the finest.","King Gizzard and the Lizard Wizard, Ty Segall, Pond",Clean,psychedelic-porn-crumpets-and-now-for-the-watchamacallit,psychedelic-porn-crumpets
2019-06-07,2019-06-07,youtube:fOzfIX1Gy9g,french_vanilla.jpg,French Vanilla,How Am I Not Myself?,Danger Collective,Hot-as-fire punk disco party with a raging saxophone and urgent female vocals.,"Le Tigre, Obliterati, Palberta",#7,french-vanilla-how-am-i-not-myself,french-vanilla
2019-06-10,2019-06-07,youtube:cpGA0azFdCs,prince.jpg,Prince,Originals,NPG,"Songs that the Purple One wrote for others, as performed by the person who wrote them. A good set of well-produced demos, but nothing that should have been released a long time ago and mostly of historical interest.","Morris Day and the Time, The Bangles, Sinead O’Conner",#8,prince-originals,prince
2019-06-12,2019-06-07,youtube:pQTKztvxEXw,mattson_2.jpg,The Mattson 2,Paradise,Company,"A set of guitar-centered mid-tempo numbers that live somewhere in the region staked out by jazz, funk, and soul.","Mac DeMarco, Chuck Mangione, Tortoise",Clean,the-mattson-2-paradise,mattson-2
2019-06-17,2019-06-07,youtube:2W227QBuX7o,palehound.jpg,Palehound,Black Friday,Polyvinyl,"Nice indie guitar sounds, with whispery vocals and a meandering melodic spirit.","Liz Phair, Waxahatchie, Soccer Mommy","#7, #10",palehound-black-friday,palehound
2019-06-21,2019-06-21,youtube:E8BI3Bbpgdk,black_midi.jpg,black midi,Schlagenheim,Rough Trade,"Insistent angular weirdfunk, songs that sound like tape loops that have fallen out of order and yet maintain a diligent desire to be songs.","Art Brut, The Dismemberment Plan, The Fall","#2, #7, #9",black-midi-schlagenheim,black-midi
2019-06-25,2019-06-21,youtube:rOnMZALLQPk,hot_chip.jpg,Hot Chip,A Bathfull of Ecstasy,Domino,"At one time, electronic soul felt like the future of music, but here is Hot Chip doing just the same thing in 2019 and it feels nostalgic.","Pet Shop Boys, Erasure, Depeche Mode",,hot-chip-a-bathfull-of-ecstasy,hot-chip
2019-06-28,2019-06-28,youtube:6NN_pwl41r8,lala_lala.jpg,Lala Lala,Sleepyhead,Hardly Art,"Crafty pop punk, brimming over with chunky guitars, layered female vocals, and lots of sneering.","Bully, The Breeders, The Muffs","#2, #3",lala-lala-sleepyhead,lala-lala
2019-07-12,2019-07-12,youtube:23D631c7SAE,metz.jpg,METZ,Automat,Sub Pop,"This is heavy pounding music that is pounding and heavy, also distorted, and pounding and heavy. Somewhat repetitive, but some of us like it like that, and pounding, and heavy.","Bass Drum of Death, Night Whip, Melvins",Clean,metz-automat,metz
2019-07-12,2019-07-12,youtube:6XDJ7exN12U,imperial_teen.jpg,Imperial Teen,Now We Are Timeless,Merge,Incredibly smart power pop overflowing with fat analog synth lines and enough earworms and hooks to launch a sonic fishing expedition. ,"Faith No More, Weezer, Spoon",#6,imperial-teen-now-we-are-timeless,imperial-teen
2019-07-13,2019-07-12,youtube:SWB_xZW6fMo,gauche.jpg,Gauche,A People’s History of Gauche,Merge,"Spiky little numbers filled with quicksilver guitar lines, the occasional horn section, punky drums and bass, and sing-song female vocals that sound like someone making fun of their bullies.","Chicks on Speed, Le Tigre, French Vanilla",#10,gauche-a-people-s-history-of-gauche,gauche
2019-07-14,2019-07-12,youtube:0ZibVktjE8g,kyle_craft.jpg,Kyle Craft,Showboat Honey,Sub Pop,"This is salty, and tangy, and spicy, and sweet, like the musical equivalent of a Mexican tamarind candy. It sounds so Sixties and Seventies that it must be from Today.","Ty Segall, T. Rex, Hanni Al Khatib",#11,kyle-craft-showboat-honey,kyle-craft
2019-07-18,2019-07-18,youtube:X9GBHwUodeo,okey_dokey.jpg,Okey Dokey,Tell All Your Friend,,"It’s indie pop, but it’s also heavily inflected with soul, country, R&B, western swing, and a bad attitude.","Supergrass, The Sadies, Islands",#12,okey-dokey-tell-all-your-friend,okey-dokey
2019-07-19,2019-07-19,youtube:55v4qfvsxBA,generationals.jpg,Generationals,Reader As Detective,Polyvinyl,"Electronic drums, layers and filigrees of keyboards, and falsetto choruses make for some glossy synthesizer soul music that wouldn’t be out of place on a late Eighties dance floor. ","Hot Chip, Orchestral Maneuvers in the Dark, STRFKR",#6,generationals-reader-as-detective,generationals
2019-07-20,2019-07-19,youtube:noTwXxBp0NM,mutagenicos.jpg,Mutagénicos,3,Dirty Water,"Straight up garage-billy from Spain, filled with surf rock, psychedelic, and British Invasion references. The vocals are in Spanish, but the bad bad attitude is unmistakable.","Agent Orange, Misfits, Teenage Bottlerocket",,mutagenicos-3,mutagenicos
2019-07-26,2019-07-26,youtube:bRUZqj7pUJE,b_boys.jpg,B Boys,Dudu,Captured Tracks,"WIth their minimalist riffing, straight ahead drumming, and disaffected vocals, this band sounds so much like Parquet Courts I had to check that it wasn’t a side project","Parquet Courts, Wire, The Minutemen","#7, #14",b-boys-dudu,b-boys
2019-07-27,2019-07-26,youtube:zpiR8L3_fNo,violent_femmes.jpg,Violent Femmes,Hotel Last Resort,PIAS,"This is kept stripped-down and acerbic, completely aligned with the band’s original punk-folk ethic.",`,Clean,violent-femmes-hotel-last-resort,violent-femmes
2019-07-28,2019-07-26,youtube:xKT-jmxALIQ,dude_york.jpg,Dude York,Falling,Hardly Art,"It’s an old recipe but it never fails: Mix some high-energy guitar rock, the kind with chuggy riffs, and put a female voice strong enough to withstand the maelstrom on top.","Tacocat, Garbage, The Muffs",#8,dude-york-falling,dude-york
2019-08-01,2018-08-24,youtube:d0dyLqjd19w,devil_makes_three.jpg,The Devil Makes Three,Chains Are Broken,New West,Americana with a punk-ass louche attitude always makes for a good bawdy time.,"Mumford and Sons, The Bath Salt Zombies, Bad Livers",Clean,the-devil-makes-three-chains-are-broken,devil-makes-three
2019-08-16,2019-08-16,youtube:3cN0vWnVaHU,ride.jpg,Ride,This Is Not A Safe Place,Wichita,"With so many new bands discovering and repurposing the swirling sounds of shoegaze, it’s no wonder original trailblazer is back with another collection of guitar-heavy near-instrumentals.","My Bloody Valentine, Curve, Slowdive",Clean,ride-this-is-not-a-safe-place,ride
2019-08-23,2019-08-23,youtube:LakVRoQayyQ,seratones.jpg,Seratones,Power,New West,"The nostalgic approach strikes gold, as this goes back to the heyday of ‘60s girl groups, with heavenly vocals, shimmering production, and deep hooks that you will have a hard time shaking off.","The Chiffons, Amy Winehouse, The Donettes","#4, #5",seratones-power,seratones
2019-08-24,2019-08-23,youtube:nkuh3Fq8zS0,waax.jpg,Waax,Big Grief,Dew Process,"Girl-forward pop-punk with a harder edge, the type where dissonant guitar stabs merge into gloriously harmonized chorus hooks.","Bully, The Grates, The Muffs",,waax-big-grief,waax
2019-08-25,2019-08-23,youtube:Re88FR9rxKc,rubinoos.jpg,The Rubinoos,From Home,Yep Roc,"Straight and true from the source of power pop, the Rubinoos deliver carefully crafted AM radio gems filled with detailed arrangements, sharp turns of melody, and glorious harmonious infectious hooks.","The Raspberries, The Shins, The Flamin’ Groovies",Clean,the-rubinoos-from-home,rubinoos
2019-08-27,2019-08-23,youtube:I4QE08QTVXY,redd_kross.jpg,Redd Kross,Beyond The Door,Merge,The clown kings of LA punk are back with their (so-far) commercially-unviable yet overwhelmingly fulfilling mix of bad attitude and party rock.,"The Lemonheads, Cheap Trick, The Posies",#10,redd-kross-beyond-the-door,redd-kross
2019-08-29,2019-08-23,youtube:Wd5FyYa_H_I,jay_som.jpg,Jay Som,Anak Ko,Polyvinyl,"Understated but solid set of songs with a strong female vocal presence. There’s a loving interlocking of guitar, bass, and keyboard lines that gives the music a rich and interesting texture.","Pinback, This Is The Kit, Mo Kenney",#1,jay-som-anak-ko,jay-som
2019-08-30,2019-08-30,youtube:XRP9k9nlAfE,caravan_palace.jpg,Caravan Palace,Chronologic,Le Plan,Caravan Palace uses old-fashioned swing music for its digital building blocks and emerges with something like audio caffeine,"Shantel, Dee-lite, The Bird and the Bee",Clean,caravan-palace-chronologic,caravan-palace
2019-09-01,2019-08-30,youtube:8e1h31hVGSw,ezra_furman.jpg,Ezra Furman,Twelve Nudes,Bella Union,"Furman sounds like he’s barely keeping it together as he blasts through a set of classic rockers, loaded with riffs and swagger.","Ty Segall, Ron Gallo, Destroyer","#1, #9, #11",ezra-furman-twelve-nudes,ezra-furman
2019-09-04,2019-08-30,youtube:7nc0UFfz8Z0,velvet_negroni.jpg,Velvet Negroni,Neon Brown,4AD,"Awkward jams that nonetheless stick in your head on repeat, with highly-detailed production and a decidedly noir feel.","Dirty Projectors, Blood Orange, Portishead","#4, #7, #8, #9",velvet-negroni-neon-brown,velvet-negroni
2019-09-06,2019-09-06,youtube:wT-HBEyYsiE,frankie_cosmos.jpg,Frankie Cosmos,Close It Quietly,Sub Pop,"Sweetness and sunshine without overstepping into cloying and saccharine, with chiming guitars and subtle keyboard hooks providing a bed for clear female croonings.","Lush, Belle and Sebastian, Dressy Bessy","#7, #10, #14",frankie-cosmos-close-it-quietly,frankie-cosmos
2019-09-08,2019-09-06,youtube:0FA0u8Z6kmQ,bobby_tenderloin.jpg,The Bobby Tenderloin Universe,The Bobby Tenderloin Universe,Keeping On,The cowboy bandwagon is in full effect as Bobby Tenderloin takes us into a rough-and-tumble universe filled with tragic and entertaining Western tropes.,"Orville Peck, Johnny Cash, Ween",#4,the-bobby-tenderloin-universe,bobby-tenderloin-universe
2019-09-09,2019-09-06,youtube:mw6NKf95VWA,iggy_pop.jpg,Iggy Pop,Free,Loma Vista,"Still burning bright, this is an interesting collection of material that has Pop veering from spoken word jazz to menacing indie rock. It’s not fast and loud, but it sure is sneering and in your face.","Tom Waits, Ken Nordine, Portishead","#5, #10",iggy-pop-free,iggy-pop
2019-09-10,2019-09-06,youtube:kyBU8GOhj-g,guaxe.jpg,Guaxe,"Paraty, Brazil",OAR,"Intensely layered psychedelic outing from Brazil, with a collection of instrumentals and softly-sibilant Portuguese designed to transport you on a multicolored rainbow of spices.","Os Mutantes, Oh Sees, Boogarins",Clean,guaxe-paraty-brazil,guaxe
2019-09-11,2019-09-06,youtube:SBcBzD1fKqw,le_big_zero.jpg,Le Big Zero,Ollie Oxen Free,,"Pop jigsaw symphonies, incongruous bits and pieces of songs interlocking together into a hypnotic cascade of rhythms, melodies, and harmonies.","Pop Canon, Heavy Vegetable, Apples In Stereo",#2,le-big-zero-ollie-oxen-free,le-big-zero
2019-09-13,2019-09-13,youtube:U12MYd1DtOs,twin_peaks.jpg,Twin Peaks,Lookout Low,Grand Jury,"Indie rock is evergreen, especially when mixed with elements of psychedelia and southern boogie.","The Band, The Skiffle Players, Spinto Band",Clean,twin-peaks-lookout-low,twin-peaks
2019-09-14,2019-09-13,youtube:WB5Gypm4fHo,devendra_banhart.jpg,Devendra Banhart,Ma,Sire,Orchestral and very intelligent singer-songwriter music that yields some very intricate arrangements without being overwhelming and overwrought.,"Sufjan Stevens, Sondre Lerche, Edwin Collins",,devendra-banhart-ma,devendra-banhart
2019-09-15,2019-09-13,youtube:E2o-65chdoc,pixies.jpg,Pixies,Beneath The Eyrie,Infectious,"Reminiscent of Bossanova-era songwriting, the band continues to make use of twisted lyrics and unexpected melodic flourishes to further iterate on their iconic sound.","The Breeders, Frank Black, Violent Femmes",#2,pixies-beneath-the-eyrie,pixies
2019-09-20,2019-09-20,youtube:v75VvGLfAYo,babe_rainbow.jpg,Babe Rainbow,Today,30th Century,"An extremely diverse outing, with songs cutting across many genres but sharing a generally sunny and engaging disposition, delivered with casual ease and filled with memorable hooks.","Je Suis France, Gorky’s Zygotic Minci, Donovan",Clean,babe-rainbow-today,babe-rainbow
2019-09-21,2019-09-20,youtube:ye-XH78aUvE,david_kilgour.jpg,David Kilgour + the Heavy Eights,Bobbie’s A Girl,Merge,"Gentle music for a pastoral New Zealand scene, with tappity drums and soft jangles playfully jostling understated vocals.","The Clean, Alfie, Real Estate",Clean,david-kilgour-the-heavy-eights-bobbie-s-a-girl,david-kilgour-heavy-eights
2019-09-22,2019-09-20,youtube:JYbJ5JdQrlk,cones.jpg,Cones,Pictures of Pictures,Dangerbird,"Solid guitar and keyboard pop, on the gentle dreamy side, with whispery singing and sharp arrangements.","Tame Impala, Toro y Moi, Papas Fritas",Clean,cones-pictures-of-pictures,cones
2019-09-23,2019-09-20,youtube:TWOJJWX_7Xs,high_dials.jpg,The High Dials,Primitive Feelings,Hook + Prayer,"A bit of a throwback to the sound of late ‘80s Manchester and subsequent British psychedelic pop, presented with a pulsating dance beat and dreamy multilayered vocals.","The Stone Roses, Wooden Shjips, James",Clean,the-high-dials-primitive-feelings,high-dials
2019-09-24,2019-09-20,youtube:jF_MZ5ytykg,m83.jpg,M83,DSVII,Mute,"Very low-key instrumentals, dependent more on subtle dynamics than on any sort of recognizable or repeatable melodic content. Quite intellectual and meditative.","Air, Plaid, Brian Eno",Clean,m83-dsvii,m83
2019-09-25,2019-09-20,youtube:BfOKehN4Hm0,vivian_girls.jpg,Vivian Girls,Memory,Polyvinyl,"The girl group aesthetic survives, drenched in spring reverb and distant crooning, and it’s not just unscathed, it’s very agitated and ready to rip throats.","La Luz, Phil Spector, Surfer Blood","#4, #11",vivian-girls-memory,vivian-girls
2019-09-26,2019-09-20,youtube:LS-vDiHHB1E,y_la_bamba.jpg,Y La Bamba,Entre Los Dos,Tender Loving Empire,"An exuberant mix of weird rock, Latin influences, and mysterious elements, resulting in some sort of white hot fusion.","Ozomatli, Captain Beefheart, David Byrne",Clean,y-la-bamba-entre-los-dos,y-la-bamba
2019-09-27,2019-09-20,youtube:j1p2z7WhceA,bombadil.jpg,Bombadil,Beautiful Country,Ramseur,"Very agreeable folk pop, with clever harmonies and sharp hooks making it the sort of music to bring on a road trip.","Babe Rainbow, Spinto Band, Jon + Roy",#2,bombadil-beautiful-country,bombadil
2019-09-28,2019-09-20,youtube:_JYC18jtVXU,peach_pyramid.jpg,Peach Pyramid,Bright Blue,Oscar St.,"Delightfully twee songs, filled with shimmering melodies, sparkling production, and heavenly choruses.","Tennis, The Sundays, The Bird and the Bee",Clean,peach-pyramid-bright-blue,peach-pyramid
2019-09-29,2019-09-20,youtube:ObUIDD_ALo0,negativland.jpg,Negativland,True False,Seeland,"Layers of samples, voices, music, found audio, sound effects, and other bizarre elements make up these haunting compositions from the masters of audio collage.","The Evolution Control Committee, Bran Flakes","#2, #4, #6, #11",negativland-true-false,negativland
2019-09-30,2019-09-20,youtube:m-wHQbu_k8g,das_clamps.jpg,Das Clamps,Shit Music For Shit People,Trash Wax,"A rowdy, loving tribute to The Cramps, even rawer and more intransigent than the original, from two women furiously channeling Lux Interior and Poison Ivy.","The Cramps, Flat Duo Jets, Chicks on Speed",,das-clamps-shit-music-for-shit-people,das-clamps
2019-10-01,2019-09-27,youtube:SpSMoBp8awM,sturgill_simpson.jpg,Sturgill Simpson,Sound + Fury,Elektra,"Simpson made a name for himself with introspective Americana, but this injects a confusing high-energy EDM element, with mixed results. I imagine die-hard ZZ Top fans felt the same way about “Eliminator”.","ZZ Top, Jason Isbell, Steve Earle",,sturgill-simpson-sound-fury,sturgill-simpson
2019-10-03,2019-09-27,youtube:EpzCM3ozg-8,temples.jpg,Temples,Hot Motion,ATO,"Modern electronic soul, richly layered and intricately produced, with decidedly old-fashioned influences from ‘60s girl groups, ‘70s AM radio, ‘80s club hits, and so on.","STRFKR, Foxygen, BRONCHO",,temples-hot-motion,temples
2019-10-04,2019-10-04,youtube:qcn1BxM3xAY,halfnoise.jpg,HalfNoise,Natural Disguise,Congrats,"Forward-looking dance funk, the kind of music that immediately makes you grab the closest person by the wrist and drag them to the dance floor.","Vulfpeck, Broncho, The Make-Up",,halfnoise-natural-disguise,halfnoise
